latitude,longitude,frp
-21.944,-41.36209,0.72
-21.94486,-41.35826,0.72
-21.94946,-41.36354,0.72
-22.63751,-44.52151,1.99
-22.90276,-43.73692,2.66
-22.904,-43.73178,2.66
-22.91011,-43.73356,2.66
-22.92152,-43.75808,2.86
-22.79736,-45.27618,10.45
-22.79898,-45.26966,10.45
-22.80242,-45.28457,31.31
-22.80399,-45.27826,10.45
-22.79893,-45.27668,18.01
-22.80059,-45.27018,8.23
-22.80396,-45.285,19.18
-22.80556,-45.27872,19.18
-23.28454,-45.78335,1.02
-23.29127,-45.78548,0.85
-23.28433,-45.78329,0.79
-23.29107,-45.78539,0.79
-23.32055,-45.98174,2.37
-3.59388,-38.86586,2.25
-3.59484,-38.86037,2.25
-4.91641,-38.68365,1.51
-4.91731,-38.67854,1.51
-6.19693,-41.22727,6.76
-6.1972,-41.23308,4.9
-6.19866,-41.22548,4.12
-9.1389,-40.1143,3.46
-9.13998,-40.10874,1.82
-10.27172,-36.34103,1.97
-10.27669,-36.34198,1.97
-10.27563,-36.34771,1.97
-10.27774,-36.33628,1.68
-11.26322,-41.50364,2.41
-13.0693,-42.14177,5.01
-14.72747,-42.36905,3.59
-14.72601,-42.37584,3.59
-14.72258,-42.36818,2.69
-14.72925,-42.36959,2.69
-14.72773,-42.37647,4.63
-15.67666,-42.47486,1.54
-15.68196,-42.48233,2.56
-15.68319,-42.47665,2.56
-15.68011,-42.47655,4.74
-15.67881,-42.48235,5.01
-16.32577,-43.96618,2.75
-16.32718,-43.95996,1.98
-16.32891,-43.96469,3.55
-21.59887,-41.26767,2.24
-21.59973,-41.26383,2.24
-0.91407,-47.54894,1.36
-0.91349,-47.55101,1.4
-1.17973,-47.79383,2.18
-1.26857,-47.8688,1.1
-1.27229,-47.86937,1.1
-1.68886,-48.19907,0.92
-1.7608,-48.05161,1.08
-1.11491,-54.09194,0.95
-1.11845,-54.09251,0.95
-1.54334,-51.64758,0.73
-1.16898,-54.14091,1.18
-2.13256,-47.99826,1.21
-1.17165,-54.14038,1.87
-1.1944,-54.22586,0.72
-2.26382,-47.84472,1.66
-3.5962,-38.86034,2.52
-2.3014,-48.14784,0.98
-2.38252,-47.63049,0.96
-2.33149,-48.6195,0.68
-3.6543,-41.1193,2.41
-3.65496,-41.11477,2.14
-2.43176,-49.33527,11.21
-2.43116,-49.33912,6.4
-2.43466,-49.33966,2.74
-2.43527,-49.3358,2.42
-2.7892,-47.14989,2
-2.79315,-47.15053,4.92
-2.79235,-47.15559,4.92
-2.7971,-47.15118,4.92
-2.79789,-47.14614,2.38
-2.79552,-47.15272,1.71
-2.79628,-47.14765,1.71
-2.79947,-47.15339,1.71
-2.63571,-48.99453,0.79
-2.16389,-52.10584,0.72
-2.82854,-48.66009,2.18
-2.83217,-48.66065,2.18
-2.83281,-48.65648,1.9
-2.83579,-48.66121,1.29
-2.55424,-51.04696,0.36
-2.14481,-53.65034,1.56
-2.79828,-49.62007,0.51
-2.96026,-48.60131,1.1
-2.96091,-48.59712,1.57
-2.92253,-48.96259,1.17
-3.22998,-47.12827,0.83
-2.51647,-51.90995,0.64
-2.51702,-51.9065,0.64
-2.98639,-49.29332,1.46
-2.98992,-49.29387,0.73
-4.13881,-43.01176,1
-3.15946,-49.47733,1.49
-3.45424,-47.628,1.04
-3.3434,-48.39205,1.75
-3.34711,-48.39262,4.64
-3.34779,-48.38826,1.06
-3.35081,-48.3932,4.64
-3.35149,-48.38881,1.06
-2.98383,-51.24249,0.56
-2.94626,-51.76162,0.61
-2.98831,-52.62739,2.58
-3.51367,-49.44585,3.76
-3.51306,-49.44976,2.38
-3.51719,-49.44639,3.76
-3.51658,-49.4503,2.38
-3.59649,-48.98778,0.45
-3.59808,-48.98669,0.89
-3.45901,-51.21292,13.71
-3.45846,-51.21642,13.14
-3.46235,-51.21345,13.71
-3.83146,-49.1373,3.36
-3.29304,-52.58247,0.91
-5.08601,-41.14309,2.68
-4.08611,-47.9565,0.81
-4.08354,-47.9584,1.08
-4.35554,-46.2918,1.4
-4.35982,-46.2925,1.4
-4.36041,-46.28854,1.85
-22.19399,-49.64905,1.28
-4.15747,-47.83378,3.49
-3.35886,-52.9992,0.42
-4.63477,-51.00085,0.84
-3.62083,-51.79292,1.11
-4.63532,-50.99731,0.87
-3.51386,-52.7494,5.94
-4.64149,-50.97993,0.73
-3.5172,-52.74992,5.94
-5.50892,-45.46199,1.47
-3.63763,-52.09655,0.44
-5.78899,-43.65723,0.55
-3.97263,-49.96856,0.82
-5.78943,-43.65401,0.55
-4.31265,-48.10305,2.37
-4.29449,-48.27397,0.58
-5.78988,-43.6508,0.83
-4.29826,-48.27454,1.1
-4.29895,-48.27001,0.85
-5.79032,-43.64759,0.83
-4.65732,-46.03618,0.72
-5.79077,-43.64436,1.76
-4.66171,-46.03681,0.87
-5.79692,-43.63871,1.11
-4.27306,-48.63795,1.56
-5.79737,-43.63551,1.11
-5.10307,-43.20586,8.6
-5.62995,-45.00301,1.01
-5.10258,-43.20921,8.6
-5.95894,-42.91502,0.55
-5.10846,-43.20646,8.6
-6.1949,-41.22753,2.08
-5.10895,-43.2031,12.55
-4.78962,-50.78904,0.65
-5.10796,-43.20981,8.6
-5.8266,-43.88119,0.37
-5.11384,-43.20715,3.24
-5.82705,-43.87809,0.37
-5.11433,-43.20382,2.54
-5.96447,-42.91587,1.65
-3.32132,-54.92287,0.72
-5.96497,-42.91236,1.54
-5.10589,-43.20738,16.57
-5.10636,-43.20403,12.15
-6.20113,-41.2282,1.44
-5.85769,-43.81271,1.6
-5.11127,-43.20802,12.05
-4.94195,-49.92371,1.29
-5.11175,-43.20464,7.09
-4.94485,-49.9281,1.25
-5.11221,-43.20134,7.09
-4.94545,-49.92423,1.2
-3.98306,-51.0607,1.46
-4.258,-54.84739,0.95
-3.98362,-51.05716,1.64
-4.25864,-54.84338,0.95
-3.98251,-51.06423,1.46
-5.06067,-49.94891,0.86
-3.98642,-51.06121,1.46
-4.37087,-54.97611,0.59
-3.98698,-51.05766,1.64
-4.28221,-55.75496,1.23
-4.35226,-48.7286,0.93
-5.93552,-45.07975,2.51
-3.80606,-52.35732,1.3
-5.93624,-45.07465,2.51
-3.80661,-52.35386,1.01
-5.94102,-45.07537,2.51
-2.69296,-59.42398,4.59
-4.4772,-54.85244,0.38
-3.83886,-52.31617,0.9
-4.48074,-54.85299,0.38
-2.6907,-59.42452,1.96
-5.86768,-45.90594,1.08
-2.69556,-59.42525,2.54
-6.31024,-42.9316,0.97
-3.73649,-53.8079,0.86
-6.31076,-42.92794,0.97
-3.73991,-53.80844,0.86
-5.82548,-46.28142,1.4
-5.04026,-45.57027,1.5
-5.54698,-42.15587,1.29
-5.82986,-46.28212,1.4
-5.55276,-42.15678,3.65
-5.83796,-46.28786,1.4
-5.55218,-42.16085,2.74
-5.55795,-42.1618,2.74
-5.83861,-46.28359,1.4
-4.86909,-46.83301,0.49
-5.84233,-46.28861,2.16
-4.86966,-46.82924,0.64
-4.47981,-55.08764,0.57
-4.87325,-46.83363,1.04
-5.42666,-49.08042,1.43
-4.87383,-46.82986,2.01
-5.83717,-46.28995,1.04
-3.59531,-55.30062,1.76
-5.84155,-46.29069,2.24
-5.16409,-45.42437,1.92
-5.84214,-46.28653,1.67
-5.16476,-45.41983,1.1
-6.30861,-42.93016,2.45
-5.71422,-47.43131,1.77
-5.19244,-45.48667,2.18
-5.19314,-45.48197,1.76
-6.26457,-43.91515,2.93
-5.44877,-49.46568,1.06
-5.19703,-45.48736,2.18
-5.19774,-45.48261,1.76
-6.18155,-45.42569,1.86
-5.197,-45.48571,3.44
-6.18695,-45.42152,0.89
-5.19767,-45.48093,1.94
-5.97397,-47.66635,1.24
-5.22029,-45.42123,0.95
-3.44311,-56.93437,0.9
-6.59964,-43.58421,1.77
-4.66313,-49.32558,1.26
-6.60451,-43.58835,1.27
-4.6661,-49.33016,4.72
-6.60994,-43.58851,1.27
-4.66671,-49.32611,1.26
-5.4832,-51.53756,0.75
-5.52024,-43.86007,0.89
-6.10155,-47.86026,1.63
-5.52069,-43.85693,0.89
-6.1023,-47.85521,1.63
-6.10702,-47.85078,1.03
-5.73295,-42.58536,1.71
-6.11099,-47.8514,1.74
-5.73855,-42.58643,1.72
-5.29994,-45.58131,0.78
-5.8143,-49.85022,1.81
-5.74407,-42.58805,1.72
-6.22776,-47.31404,0.83
-5.74459,-42.58453,2.5
-6.24012,-47.31577,0.77
-5.30449,-45.58214,3.11
-5.62791,-51.70032,0.69
-5.30516,-45.57765,3.11
-5.30453,-45.57906,3.85
-5.60379,-52.15059,0.61
-5.30389,-45.58356,3.57
-5.73546,-42.58385,1.75
-5.60711,-52.1511,0.61
-5.74102,-42.58527,1.97
-5.69158,-51.74301,0.91
